Document	psif
Doing the operation and ran out of hooks to complete the job.	nonsif
EMPLOYEE FELT DISCOMFORT IN RIGHT ARM.	nonsif
All manageable in nature and all pieces cut to the same length for loading.	nonsif
The employee was wearing all required PPE when Supervisor arrived on the job site.	nonsif
Second shit utility operator was not wearing the required hearing protection.	nonsif
I was going to cabinet to get alcohol wipes for job I was on.	nonsif
This happened in from of Supervisor John.	nonsif
On the leading edge of the first landing she led with her right foot.	nonsif
Shoe caught slipped causing her to lose her balance.	nonsif
Employee refused management request to go to emergency room.	nonsif
The gates closed while troubleshooting EI issue from am am.	nonsif
The pH was not out of range during this time.	nonsif
mechanic arrived at DL his superintendant asked him where the portable welder was.	nonsif
Operator opened safety cage gate to change pallets.	nonsif
Both hinges failed causing the gate to fall towards the operator.	nonsif
Supervisor Luke MacDonald dept zone Job Latch Handle x yrs.	nonsif
Relay Panel Upgrades.	nonsif
Employee was turning a tue over and got the tube on fingernail.	nonsif
Broke nail into quick.	nonsif
Finger on lefthand.	nonsif
The IP was travelling on business in India.	nonsif
I landed on my left elbow and left knee.	nonsif
One of the pipe joints near the washing water heater has leaking.	nonsif
Water spilled to the floor making a slippery surface.	nonsif
states she was lifting and flipping the lift gaits to put into the racks.	nonsif
Irritation developed on right arm hand.	nonsif
EMPLOYEES HANDS BROKE OUT INTO A RASH.	nonsif
Appropriate thinner for the ink is to be used to clean the part.	nonsif
Employee did not recognize an incident just noticed eye was sore.	nonsif
SC was on a scheduled job to replace the high side kV TR disconnect.	nonsif
livening of gear.	nonsif
At that time he felt the pull.	nonsif
Employee was unharmed.	nonsif
Dunnaged used to lay down FN s caused tripping hazard.	nonsif
KUWAIT To be replced by blocks.	nonsif
To be replced by blocks.	nonsif
THIS IS MY SECOND DAY ON THE JOB I WAS TRAINING YESTERDAY.	nonsif
I ALSO USE A HEAVY DRILL.	nonsif
Utilizing near to near theory.	nonsif
While conducting field audits an incumbent reader was observed practicing safe driving behaviors.	nonsif
What caused this event.	nonsif
The employee also ensured that a safe following distance was being maintained as well.	nonsif
Dies all over the floor down the isle way to the scrap trailers.	nonsif
Business interruption caused by false alarm in OA.	nonsif
PA announcment made about alarm indications.	nonsif
Fire leader investigation concluded no fire condition.	nonsif
Front end damage to the civilian vehicle and no damage to ComEd vehicle.	nonsif
She sprained her right ankle.	nonsif
Right arm strain when lifting full bottles.	nonsif
This was identified by the daily duplicate meter check performed by a FMS analyst.	nonsif
Root Causes include Causal Analysis Results.	nonsif
OSHA Recordable Leg Laceration.	nonsif
Subsequent to the event MJ Electric failed to follow the ComEd notification guidelines.	nonsif
Even though the event happened at approximately ComEd was not notified until approximately.	nonsif
None of the Above.	nonsif
The primary failures that have been initially identified are as follows.	nonsif
EE stated they started late today for personal reason FMLA.	nonsif
EHS followed up with EE.	nonsif
EE could not think of anything that could have prevent the fall.	nonsif
Worked until just before lunch when reported to medical department.	nonsif
Side walk was pretty clear.	nonsif
The employee stated I had finished installing a limit switch.	nonsif
I initially stepped upward onto a cable tray.	nonsif
The annual inspection certificate for the both hoists enclosure and shop.	nonsif
The last load test for the enclosure hoist was done in April.	nonsif
Root Cause Inadequate job planning.	nonsif
Has been on job three months.	nonsif
On at a customer site ee was going into an air compressor room.	nonsif
Employee reported incident within hours.	nonsif
Employee was called by hospital staff to troubleshoot a Innova vascular equipment.	nonsif
EE reported his injury to his supervisor and reported to the MC.	nonsif
