Documents	Fatality_Category	Fatcat_Index
Victim was inside a building bundling material and became ill possible heat stroke.	heat stress or non-specific	1
Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.	fall from height	10
Victim was preparing a hover hookup and was hit by a snag or tree that had been dislodged b a helicopter rotor wash.	falling or propelled object	100
Driver pulling a trailer with work materials lost control of the vehicle and collided with a tractor trailer.	crushed by machinery/moving objects	1000
Worker was working under a truck fixing the brakes when the truck rolled onto the worker.	powered vehicle	1001
Worker was in a grain bin breaking loose bridged grain that was not flowing and was buried in the corn.	falling or propelled object	1004
Worker was working at an unstacker went under a catwalk and failed to lockout the equipment. Worker raised her arm up toward the roller and was caught and pulled into the roller.	crushed by machinery/moving objects	1005
Worker was running a lateral sewer line when the trench wall collapsed.	falling or propelled object	1006
Worker cleaning up a trainwreck injured when crane brake failed and crane fell and hit him .	crane/boom or similar	1007
Worker was working with a truck boom. The boom hit a power line and the worker was shocked .	electrical hazard	1008
Worker was standing on top of a trailer load of pipes pulling the tarp up to cover the load. He fell over 10 feet from the top of the load hit his head on the concrete floor.	crushed by machinery/moving objects	1009
Victim was operating a lawn tractor and the tractor tipped over rolling onto the victim.	powered vehicle	101
Worker elevated in an aerial boom lift was injure when lift made contact with 115 KV transmission line.	electrical hazard	1012
Worker suffered mass trauma to his body cause was not known.	various	1013
Worker was hit by a car.	powered vehicle	1014
Worker suffered critical head injury after falling from a scaffold.	fall from height	1015
Worker injured from an oxygendeficient atmosphere.	chemical exposure	1016
Worker was removing a frozen bolt from the track of a catepiller front end loader and was hit by a bolt that entered his forehead.	falling or propelled object	1017
Worker injured from an explosion.	fire/explosion	1018
Worker was doing a cable connection working on a ladder 20 feet up became unresponsive and fell to the asphalt.	fall from height	1019
Victim was working in an aerial lift upgrading three phases of an electrical distribution line. He was on the pole during the process of hoisting and moving the existing energized A phase and contacted energized conductors and was exposed to 7620volts of AC voltage. Victim was shocked .	electrical hazard	102
Worker was repairing tires on a frontend loader. Worker crawled under the loader with a bead bar to attempt to break the tire bead from the wheel rim. The equipment shifted and came off the jacks hit the worker under the rear of the loader.	crushed by machinery/moving objects	1020
Worker was riding in a golf cart after a housekeeping assignment collapsed and fell out of a moving golf cart hit her head on the concrete cart trail.	powered vehicle	1021
Worker on the ground was hit by the boom of a tree delimber.	falling or propelled object	1022
Worker was repairing an overhead door motor. He had removed the cover of the motor exposing the electrical components to replace a component. Worker leaned over the motor after replacing the component to make an adjustment to the chain and began to shak	crushed by machinery/moving objects	1023
Two workers were offloading trucks on the exterior of the grain elevator and two elevator grain tubes collapsed. Both workers were buried under structure debris.	crushed by machinery/moving objects	1024
Worker was cutting limbs from a tree and fell 50 feet.	falling or propelled object	1025
Worker was working on a TV dish from a roof lost his balance and fell 9 stories to the ground.	fall from height	1026
Worker was installing an air conditioning unit. He was using a torch to sweat a pipe joint and was shocked .	electrical hazard	1027
