Document	psif	sim_avg	sim_max	sim_min	sim_max_index	sim_min_index
Peterson was hited between the two pieces of machinery and was pronounced injured shortly before 11 a.m., police said.	psif	0.30895233154296875	0.8642141819000244	-0.24630951881408691	56	6893
Employee was running telecommunications (broadband cable) lines over a highway when the cable may have come in contact with energized power transmission lines.	psif	0.4225318431854248	0.9813798666000366	-0.1363162100315094	2746	164
Maryland steelworker shockd when he contacted energized toaster oven casing in employee lunchroom.	psif	0.4586571156978607	0.9856988787651062	-0.06838463246822357	6834	7421
Employee leaned on a temporary guardrail that gave way causing him to fall to the ground level below	psif	0.3629014492034912	0.9817312359809875	-0.2559283673763275	308	426
An employee fell from a second floor level in a residential home (1/3/17), the employee sustained injuries that resulted in injured on (1/13/17).	psif	0.43053269386291504	0.988645076751709	-0.1275797039270401	7499	5859
Iron worker injureds following an 89-foot fall through an opening in temporary metal flooring in virginia.	psif	0.44433149695396423	0.9915559887886047	-0.10289298743009567	2035	708
Security officer shot during confrontation with patron outside bar	psif	0.45721688866615295	0.9951889514923096	-0.08075519651174545	1623	1450
Victim was thought to have fallen off at the back of a garbage truck onto the roadway and injuredd from the injuries he received.	psif	0.45319920778274536	0.9844088554382324	-0.07801046967506409	4760	760
Pilot injured in plane crash.	psif	0.4466995298862457	0.9998698234558105	-0.10647077858448029	5947	760
A sanitation worker was run over by his garbage truck and injured early Friday in Orlando, according to police.	psif	0.45651519298553467	0.994741678237915	-0.0817112922668457	1677	1115
Anchor said March 24 that Lori Turner injuredd as a result of an unspecified incident the evening of March 23.	psif	0.1700367033481598	0.6140938997268677	-0.2740204930305481	2983	6168
Bill Deveaux was injured after falling from a ladder while working as an electrician in Marlborough.	psif	0.43797850608825684	0.9858235120773315	-0.10986647754907608	4619	3563
Worker injured in fall from truck cab.	psif	0.48352134227752686	0.9996961951255798	-0.03265352174639702	7031	6168
20-year-old bricklayer shockd in maryland.	psif	0.2861791253089905	0.8295297026634216	-0.2571714222431183	2624	6774
Worker asphyxiated by carbon monoxide from forklift exhaust.	psif	0.45241260528564453	1.0000001192092896	-0.09517492353916168	6691	4764
Road construction worker was mildly injured when hit by a vehicle.	psif	0.4667525291442871	0.9980453252792358	-0.06454023718833923	2591	7469
Worker injured in explosion when tiller hit gas main.	psif	0.46678420901298523	0.9999215602874756	-0.06635316461324692	6435	1082
Worker injured in fall from ladder.	psif	0.47897154092788696	1.0	-0.04205690324306488	4388	6168
The employee received a lethal electrical shock	psif	0.4308692514896393	0.9688119292259216	-0.10707341879606247	7107	4700
Two West Virginia miners became trapped and injuredd late on Monday evening at a mine with a history of safety violations.	psif	0.2718203365802765	0.7637850642204285	-0.22014440596103668	4819	7099
The employees were replacing gutter down sprout.	psif	0.022916093468666077	0.07112351059913635	-0.02529132552444935	1180	755
Deputy Sheriff Bartlett was responding to assist other officers involved in a vehicle pursuit when his patrol car collided with an exiting tractor trailer.	psif	0.4054514467716217	0.9666956663131714	-0.15579278767108917	2616	4413
An employee was shockd while pulling wire through a junction box.	psif	0.4750059247016907	0.9995362758636475	-0.04952443391084671	2834	2027
Worker shockd while welding ship module.	psif	0.4596274197101593	0.9777649641036987	-0.05851013585925102	6317	6968
An employee reversing a dump truck rolled into a ditch.	psif	0.4572083353996277	0.9955770373344421	-0.08116035908460617	1756	4925
Authorities say a 79-year-old worker was hited to injured by a tractor as he was seeding the grounds of a Jefferson County golf course.	psif	0.41395488381385803	0.9686487317085266	-0.14073896408081055	1524	583
The fixture fell off the pallet due to two reasons.	psif	0.023924464359879494	0.06967435777187347	-0.021825429052114487	4765	5307
Deputy Sheriff Locklear was attempting to catch up to other officers in pursuit of a subject when his vehicle left the roadway and he hit a tree, dying at the scene.	psif	0.3437461256980896	0.9600459933280945	-0.2725537121295929	426	1690
Worker mildly hited between two machine injureds.	psif	0.4331914186477661	0.9833402037620544	-0.1169573962688446	6575	1186
Employee fell four stories from suspended scaffold.	psif	0.45551538467407227	0.9990683794021606	-0.08803762495517731	524	3563
Employee was operating a John Deer mower on I-155 west bound when he was hit by a tractor trailer.	psif	0.4056246876716614	0.9752688407897949	-0.16401945054531097	3553	5509
Worker injured in fall from telecommunications tower.	psif	0.4737145006656647	0.9999390244483948	-0.05251004546880722	6163	6168
Investigators say the man had been operating an industrial dough mixer when another worker discovered his body Sunday afternoon in the machine.	psif	0.3583528995513916	0.9247472286224365	-0.2080414593219757	673	6643
Found injured in his car less than day after emergency call	psif	0.3929738402366638	0.9531817436218262	-0.16723406314849854	1290	578
Employee at a construction site in Montgomery, Alabama was taken to Jackson Hospital and injuredd of heat exhaustion or possible heart attack.	psif	0.40009909868240356	0.9530980587005615	-0.1528998762369156	0	3914
EE fell from a standing ladder that was 6 feet tall.	psif	0.3604459762573242	0.9939559102058411	-0.2730639576911926	7469	2619
A 21-year-old man injuredd Wednesday after being hited by heavy equipment at a concrete and asphalt recycling company in Sun Valley, authorities said.	psif	0.31905871629714966	0.8756664395332336	-0.23754897713661194	715	4700
Electrician injureds in ohio.	psif	0.393337607383728	0.9223663210868835	-0.1356910765171051	33	4700
An employee was installing new metal roofing panels when he fell through the roof to the concrete ground below.	psif	0.4627879858016968	0.9987119436264038	-0.07313595712184906	268	3563
Sinjured worker falls after collapse of elevator platform.	psif	0.47342580556869507	0.9949604272842407	-0.048108845949172974	3006	443
Hispanic yard worker injureds after being hit by a release of logs from a log stack.	psif	0.4005468785762787	0.9912626147270203	-0.19016887247562408	2532	568
A 42 year old male fell from a 10/12 pitched roof while performing residential framing construction without fall protection.	psif	0.41788244247436523	0.9960319995880127	-0.16026712954044342	174	2619
A contracted highway worker for the State Highway Administration injuredd Thursday evening after being hit by a vehicle in a work zone in St. Michaels, according to the SHA and Maryland State Police.	psif	0.434066504240036	0.9829628467559814	-0.11482983082532883	201	5509
Worker hit and injured by semi-tractor trailer while operating forklift.	psif	0.488594114780426	0.9996011257171631	-0.022412871941924095	6591	6168
Tree feller hited by dislodged tree.	psif	0.3966900706291199	0.9929173588752747	-0.1995372176170349	7152	3071
Pilot injured in a private plane crash upon take-off in Bedford.	psif	0.4514639675617218	0.9946723580360413	-0.09174440056085587	5947	760
Mobile home assembly line worker is shockd in ohio.	psif	0.4101957678794861	0.9864746928215027	-0.16608312726020813	5338	6422
Part-time laborer hit between scissor lift work platform railing and doorway header.	psif	0.4012758731842041	0.9585198163986206	-0.1559680849313736	5705	6893
Employee fell into the Delaware River and was later found by co-workers.	psif	0.3831031620502472	0.9550020694732666	-0.18879574537277222	2845	6574
Side of road way when hit - on purpose - by a motorist_x000D_ _x000D_	psif	0.4256020188331604	0.9832640886306763	-0.13206006586551666	6570	5877
Worker injuredd after tripping and hitting head.	psif	0.477499395608902	0.9963521361351013	-0.04135333001613617	6336	6
Struck by motorist while removing cones during road construction._x000D_	psif	0.42440494894981384	0.9819217920303345	-0.13311190903186798	1323	7099
Heart attack in office	psif	0.4215151071548462	0.9571507573127747	-0.11412055045366287	434	1271
employee shockd when the flag pole fell onto the power line	psif	0.46783244609832764	0.9968658089637756	-0.06120091676712036	182	7421
Responding to an investigation at a home in Tanana, AK and was shot to injured inside home._x000D_	psif	0.4579879343509674	0.9909995794296265	-0.07502372562885284	959	6190
Employee was moving boxes, became disoriented from heat stroke	psif	0.33524617552757263	0.8941597938537598	-0.2236674278974533	940	6168
Tree trimmer injureds after 40-foot fall in aerial bucket.	psif	0.42423319816589355	0.9942790865898132	-0.14581270515918732	806	6367
Worker injureded in grease and water separator.	psif	0.4406835436820984	0.9973474740982056	-0.11598040908575058	6249	178
The employee fell from a ladder.	psif	0.46250054240226746	0.998289942741394	-0.07328886538743973	345	443
Trooper Anson injuredd as a result of cancer that he developed following his assignment to rescue and recovery at the World Trade Center on September 11, 2001.	psif	0.41620638966560364	0.9700306057929993	-0.13761784136295319	4835	1126
Okesene Faasalele, 59, of Long Beach, was harnessed to a section of the bridge spanning the eastbound lanes that was being cut in half, and fell to his injured when a portion of the structure buckled.	psif	0.31782200932502747	0.8430097699165344	-0.20736576616764069	3287	5642
The man was working when he got caught in a piece of machinery.	psif	0.39406657218933105	0.9936397075653076	-0.2055065929889679	839	5307
52-year-old first class electrician shockd in indiana.	psif	0.42858225107192993	0.9789249897003174	-0.12176050245761871	2142	760
Worker was working under a trailer, and the axle fell across his neck.	psif	0.47460249066352844	0.9939616322517395	-0.04475663974881172	131	4334
Worker mildly hited between tractor and trailer.	psif	0.3986034691333771	0.9928023815155029	-0.19559545814990997	5371	7383
Ran off road in rain while responding to back-up call	psif	0.31839004158973694	0.7816473841667175	-0.14486731588840485	5263	464
Nelson poured the acid waste into the water waste.	psif	0.026309965178370476	0.08064783364534378	-0.02802790328860283	1176	6574
An employee was found lying on the ground.	psif	0.30473774671554565	0.8117823004722595	-0.2023068219423294	7259	705
Worker mildly hited by trailer that fell from forklift.	psif	0.47682568430900574	0.997160017490387	-0.0435086265206337	2430	1154
Suffered heart attack	psif	0.42454081773757935	0.9799675345420837	-0.13088591396808624	1475	1271
EE stepped through a skylight and fell 31 feet	psif	0.35952961444854736	0.9851062297821045	-0.26604700088500977	1	2619
Worker injured in fall from dome.	psif	0.47927239537239075	0.9997876882553101	-0.041242875158786774	6248	6168
Cement finisher injureds after being hited against doorway by cement truck chute.	psif	0.4532323479652405	0.988092839717865	-0.08162811398506165	5345	1082
Authorities on Wednesday released the names of the victims injured a day earlier in a murder-suicide at a UPS facility in Alabama, where police said an employee who had been fired shot injured two supervisors before turning the gun on himself.	psif	0.4529658555984497	0.9972099661827087	-0.09127822518348694	2752	6190
Tacoma police and a Washington state spokesman say a worker has injuredd at a Tacoma sawmill and state investigators are looking into the circumstances.	psif	0.36452537775039673	0.9631239771842957	-0.2340732365846634	516	7302
Worker picking up traffic cones hit and injured by motor vehicle.	psif	0.47244948148727417	0.9998847246170044	-0.05498577281832695	6534	1082
machining rotor machining.	psif	0.07535809278488159	0.26047834753990173	-0.10976215451955795	302	2027
The tractor pulled forward and the employee was hit-by the tractor truck	psif	0.4635968804359436	0.9966353178024292	-0.0694415420293808	106	61
Worker mildly hited under laser cutting table.	psif	0.4069954752922058	0.9940677881240845	-0.18007682263851166	6270	7440
ELECTROCUTION FROM LIGHT WITH EXTENSION CORD UNDER HOUSE	psif	0.022616518661379814	0.06335057318210602	-0.01811753585934639	4765	5928
An employee was apparently shockd while troubleshooting an underground wiring issue.	psif	0.45820966362953186	0.9883424043655396	-0.07192306220531464	5182	374
Drywall mechanic injureds after 10-foot fall from an open-sided floor.	psif	0.4583047032356262	0.9977152347564697	-0.08110583573579788	3356	708
"According to an Oklahoma Highway Patrol accident report, William ""Hunter"" Miller, 20, of Jenks injuredd when he was run over by a forklift at Paragon Industries"	psif	0.3257139325141907	0.8853289484977722	-0.23390105366706848	2803	7456
Millworker injureds in feed storage bin.	psif	0.4600234925746918	0.9925556182861328	-0.07250865548849106	4464	178
Employee was installing plywood sheathing and fell from a multi-story roof resulting in injured.	psif	0.46981772780418396	0.9989851713180542	-0.05934969335794449	3307	6168
The rigging failed and the slab fell onto truck driver.	psif	0.3480435609817505	0.9051926136016846	-0.2091054916381836	708	3984
Carpenter injureds after 13-foot fall through roof opening onto concrete floor.	psif	0.4315957725048065	0.9930645823478699	-0.12987305223941803	4925	5859
Clearing trees for a trail area when he was hit in the head by a branch earlier in the week.	psif	0.35236257314682007	0.9844546318054199	-0.2797295153141022	1186	1690
While an employee was welding 4,000 lb. upright trench plate, the plate fell over and hited him.	psif	0.39367127418518066	0.9446439743041992	-0.15730144083499908	3666	261
Board kicked out of a board edger hit him in the chest, after he unjammed it.	psif	0.3435594141483307	0.8377929329872131	-0.15067408978939056	307	2730
Worker hit and injured by load from dump truck.	psif	0.48855143785476685	0.9999991655349731	-0.02289626933634281	6440	1082
On 05/16/17, an employee fell to his injured while working 4 stories on a scaffold at an apartment complex.	psif	0.46555763483047485	0.9976223707199097	-0.06650713086128235	947	6168
Gate vehicle contact.	psif	0.1237030178308487	0.30012041330337524	-0.05271438509225845	539	245
Firefighters say a worker changing light fixtures above a parking lot in Tolleson has injuredd after being shockd.	psif	0.4382875859737396	0.9647459983825684	-0.08817083388566971	2259	359
